time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1675	1.3663	5.19272	0.252659	0.249944	radar	4.5202	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3921	1.44666	5.1625	0.274672	0.263978	lidar	1.08574	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6227	1.54178	5.08127	0.306297	0.296068	radar	3.77864	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8495	1.5659	5.04611	0.294214	0.259374	lidar	1.53935	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1147	1.61823	5.089	0.291417	0.23496	radar	2.07158	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3949	1.65698	5.12332	0.280245	0.202286	lidar	2.10558	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6261	1.71709	5.07783	0.287164	0.200048	radar	0.892546	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8567	1.77789	5.05788	0.29227	0.193566	lidar	0.374066	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1114	1.87049	5.11718	0.307843	0.198362	radar	1.37195	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3562	1.89117	5.09494	0.287494	0.15678	lidar	0.839289	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6122	1.95049	5.13921	0.284473	0.138603	radar	1.00236	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8109	2.08947	5.10898	0.331697	0.194356	lidar	3.15667	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0767	2.19795	5.2022	0.346378	0.194754	radar	3.45173	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.279	2.34147	5.17616	0.389591	0.240952	lidar	2.33135	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4564	2.49949	5.07148	0.44695	0.313233	radar	10.508	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7068	2.60816	5.09832	0.457654	0.305989	lidar	0.885092	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9255	2.72611	5.08088	0.477581	0.314316	radar	0.163889	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.154	2.87603	5.10515	0.508027	0.333782	lidar	0.439411	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4047	2.98289	5.17067	0.502936	0.293709	radar	1.65108	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6142	3.04721	5.1112	0.490948	0.258982	lidar	2.39399	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8444	3.20222	5.17303	0.514219	0.26596	radar	3.71633	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0508	3.39551	5.19883	0.561744	0.311675	lidar	0.915722	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2599	3.56779	5.18958	0.598625	0.346324	radar	2.41295	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4736	3.75217	5.21899	0.632503	0.367959	lidar	0.50364	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6854	3.88733	5.20539	0.640736	0.354614	radar	1.05664	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9093	4.02381	5.20652	0.645175	0.336819	lidar	0.30265	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.103	4.19226	5.16438	0.677711	0.370063	radar	1.73883	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3009	4.3841	5.18833	0.708745	0.386219	lidar	0.280695	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5112	4.54836	5.20553	0.719558	0.371903	radar	0.687942	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6908	4.71268	5.18315	0.738196	0.372496	lidar	0.473647	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8394	4.91565	5.10245	0.79641	0.451891	radar	4.31896	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0035	5.13771	5.1294	0.837545	0.475762	lidar	0.369321	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1725	5.31188	5.10069	0.857401	0.475937	radar	1.77183	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3335	5.4874	5.07743	0.874889	0.468344	lidar	0.256608	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4884	5.66115	5.03292	0.896453	0.474477	radar	3.26764	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
